# file...... Result_no_control/Load32_voltage.csv
# date...... Thu Mar 10 17:27:05 2016
# user...... chepeadan
# host...... (null)
# target.... load 982
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_C.real,voltage_C.imag
2000-01-01 04:08:00 EST,+0.13532,+252.105
2000-01-01 04:09:00 EST,+0.172972,+252.14
2000-01-01 04:10:00 EST,+0.172972,+252.14
2000-01-01 04:11:00 EST,+0.164239,+252.15
2000-01-01 04:12:00 EST,+0.15679,+252.12
2000-01-01 04:13:00 EST,+0.128968,+252.043
2000-01-01 04:14:00 EST,+0.13842,+251.95
2000-01-01 04:15:00 EST,+0.15859,+251.926
2000-01-01 04:16:00 EST,+0.17261,+251.885
2000-01-01 04:17:00 EST,+0.137362,+251.794
2000-01-01 04:18:00 EST,+0.107898,+251.799
2000-01-01 04:19:00 EST,+0.107898,+251.799
2000-01-01 04:20:00 EST,+0.0754283,+251.793
2000-01-01 04:21:00 EST,+0.0292607,+251.809
2000-01-01 04:22:00 EST,+0.0257819,+251.755
2000-01-01 04:23:00 EST,+0.019397,+251.732
2000-01-01 04:24:00 EST,+0.0137024,+251.691
2000-01-01 04:25:00 EST,-0.00824447,+251.587
2000-01-01 04:26:00 EST,-0.0379317,+251.618
2000-01-01 04:27:00 EST,-0.0379317,+251.618
2000-01-01 04:28:00 EST,-0.0313818,+251.693
2000-01-01 04:29:00 EST,-0.0301195,+251.692
2000-01-01 04:30:00 EST,-0.0682162,+251.641
2000-01-01 04:31:00 EST,-0.0593166,+251.715
2000-01-01 04:32:00 EST,-0.00944643,+251.679
2000-01-01 04:33:00 EST,-0.0297344,+251.626
2000-01-01 04:34:00 EST,-0.0263612,+251.626
2000-01-01 04:35:00 EST,-0.0186342,+251.699
2000-01-01 04:36:00 EST,-0.0319437,+251.714
2000-01-01 04:37:00 EST,-0.0640355,+251.751
2000-01-01 04:38:00 EST,-0.0330059,+251.815
2000-01-01 04:39:00 EST,-0.0330915,+251.835
2000-01-01 04:40:00 EST,-0.0183298,+251.786
2000-01-01 04:41:00 EST,-0.0183298,+251.786
2000-01-01 04:42:00 EST,+0.00364833,+251.845
2000-01-01 04:43:00 EST,-0.00111642,+251.881
2000-01-01 04:44:00 EST,+0.02821,+251.906
2000-01-01 04:45:00 EST,+0.0485026,+251.91
2000-01-01 04:46:00 EST,+0.0485026,+251.91
2000-01-01 04:47:00 EST,+0.0560981,+251.925
2000-01-01 04:48:00 EST,+0.0754738,+251.902
2000-01-01 04:49:00 EST,+0.0222663,+251.912
2000-01-01 04:50:00 EST,+0.0183734,+251.863
2000-01-01 04:51:00 EST,+0.0251091,+251.831
2000-01-01 04:52:00 EST,+0.0257817,+251.915
2000-01-01 04:53:00 EST,+0.0375406,+251.979
2000-01-01 04:54:00 EST,+0.0277818,+251.926
2000-01-01 04:55:00 EST,+0.0457525,+251.82
2000-01-01 04:56:00 EST,+0.047809,+251.821
2000-01-01 04:57:00 EST,+0.0364956,+251.765
2000-01-01 04:58:00 EST,+0.0139099,+251.794
2000-01-01 04:59:00 EST,+0.0743609,+251.874
2000-01-01 05:00:00 EST,+0.0235928,+251.829
2000-01-01 05:01:00 EST,+0.0845568,+251.784
2000-01-01 05:02:00 EST,+0.0717654,+251.831
2000-01-01 05:03:00 EST,+0.0758537,+251.832
2000-01-01 05:04:00 EST,+0.103647,+251.837
2000-01-01 05:05:00 EST,+0.117271,+251.762
2000-01-01 05:06:00 EST,+0.106969,+251.76
2000-01-01 05:07:00 EST,+0.118514,+251.762
2000-01-01 05:08:00 EST,+0.111908,+251.77
2000-01-01 05:09:00 EST,+0.109719,+251.757
2000-01-01 05:10:00 EST,+0.118162,+251.761
2000-01-01 05:11:00 EST,+0.153101,+251.662
2000-01-01 05:12:00 EST,+0.156275,+251.696
2000-01-01 05:13:00 EST,+0.173432,+251.674
2000-01-01 05:14:00 EST,+0.183569,+251.726
2000-01-01 05:15:00 EST,+0.172076,+251.67
2000-01-01 05:16:00 EST,+0.169992,+251.637
2000-01-01 05:17:00 EST,+0.175661,+251.724
2000-01-01 05:18:00 EST,+0.162683,+251.769
2000-01-01 05:19:00 EST,+0.13886,+251.81
2000-01-01 05:20:00 EST,+0.126066,+251.825
2000-01-01 05:21:00 EST,+0.0715776,+251.853
2000-01-01 05:22:00 EST,+0.0715776,+251.853
